id,nome,generos,source
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Romance, Supernatural",Manga
33323,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru","Comedy, Romance, Supernatural",Manga
52308,Kanojo ga Koushaku-tei ni Itta Riyuu,"Fantasy, Romance",Manhwa
32491,Kanojo to Kanojo no Neko: Everything Flows,Slice of Life,Original
59845,Kaoru Hana wa Rin to Saku (The Fragrant Flower Blooms with Dignity),"Drama, Romance",Manhwa
7711,Karigurashi no Arrietty (The Secret World of Arrietty),"Award Winning, Supernatural",Novel
57217,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,"Comedy, Romance",Manga
45613,Kawaii dake ja Nai Shikimori-san (Shikimori's Not Just a Cutie),"Comedy, Romance",Manhwa
572,Kaze no Tani no Nausicaä (Nausicaä of the Valley of the Wind),"Adventure, Award Winning, Drama, Fantasy",Manga
16662,Kaze Tachinu (The Wind Rises),"Award Winning, Drama, Romance",Manga
6045,Kimi ni Todoke (Kimi ni Todoke: From Me to You),"Drama, Romance",Manga
9656,Kimi ni Todoke 2nd Season (Kimi ni Todoke: From Me to You Season 2),"Drama, Romance",Manga
10152,Kimi ni Todoke: Kataomoi,Romance,Manga
35159,Kimi no Hikari: Asagao to Kase-san.,Girls Love,Manga
38594,"Kimi to, Nami ni Noretara (Ride Your Wave)","Drama, Romance, Supernatural",Original
36699,Kimitachi wa Dou Ikiru ka (The Boy and the Heron),"Adventure, Award Winning, Drama, Fantasy",Original
57050,Kisaki Kyouiku kara Nigetai Watashi,"Comedy, Romance",Manga
31798,Kiznaiver,"Drama, Romance, Sci-Fi",Original
38080,Kono Oto Tomare! (Kono Oto Tomare!: Sounds of Life),Drama,Manga
38889,Kono Oto Tomare! Part 2 (Kono Oto Tomare!: Sounds of Life Season 2),Drama,Manga
15227,Kono Sekai no Katasumi ni (In This Corner of the World),"Award Winning, Drama",Manga
34626,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,"Adventure, Comedy, Fantasy",Light novel
52173,Koori Zokusei Danshi to Cool na Douryou Joshi,"Comedy, Fantasy, Romance",Manhwa
16782,Kotonoha no Niwa (The Garden of Words),"Award Winning, Drama, Romance",Original
43,Koukaku Kidoutai (Ghost in the Shell),"Award Winning, Mystery, Sci-Fi, Suspense",Manga
4672,Koukaku Kidoutai 2.0 (Ghost in the Shell 2.0),"Mystery, Sci-Fi, Suspense",Manga
17187,Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,"Mystery, Sci-Fi",Manga
19191,Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,"Mystery, Sci-Fi",Manga
19193,Koukaku Kidoutai Arise: Ghost in the Shell - Border:3 Ghost Tears,"Mystery, Sci-Fi",Manga
19195,Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,"Mystery, Sci-Fi, Suspense",Manga
27411,Koukaku Kidoutai: Shin Movie (Ghost in the Shell: The New Movie),"Award Winning, Mystery, Sci-Fi",Manga
8129,Kuragehime (Princess Jellyfish),Comedy,Manga
416,Kurenai no Buta (Porco Rosso),"Action, Adventure, Award Winning, Comedy, Drama, Romance",Manga
58853,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,"Comedy, Romance",Manga
22673,Kuroko no Basket 2nd Season NG-shuu,"Comedy, Sports",Manga
30311,Kuroko no Basket 3rd Season NG-shuu,"Comedy, Sports",Manga
15487,Kuroko no Basket NG-shuu (Kuroko's Basketball Specials),"Comedy, Sports",Manga
6707,Kuroshitsuji II (Black Butler II),"Action, Comedy, Supernatural",Manga
32949,Kuzu no Honkai (Scum's Wish),"Drama, Romance",Manga
18153,Kyoukai no Kanata (Beyond the Boundary),"Action, Supernatural",Light novel
14349,Little Witch Academia,"Adventure, Comedy, Fantasy",Original
19489,Little Witch Academia: Mahoujikake no Parade,"Adventure, Comedy, Fantasy",Original
35677,Liz to Aoi Tori (Liz and the Blue Bird),"Award Winning, Drama",Novel
56352,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",Romance,Light novel
55071,Amagami-san Chi no Enmusubi (Tying the Knot with an Amagami Sister),"Comedy, Romance, Supernatural",Manga
54309,Blue Archive the Animation,"Action, Fantasy",Other
12293,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou (Campione!),"Action, Comedy, Romance, Supernatural, Ecchi",Light novel
34438,Code Geass: Hangyaku no Lelouch I - Koudou,Sci-Fi,Original
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,Sci-Fi,Original
