id,nome,score,generos,tipo
14531,GTO: Shonan 14 Days (GTO: 14 Days in Shonan),8.22,"Action, Comedy, Drama, Ecchi",Manga
16593,Private Opinion: Banana Fish Another Story,8.22,"Action, Drama",Manga
112091,Hidamari ga Kikoeru: Limit (I Hear the Sunspot: Limit),8.22,"Boys Love, Slice of Life",Manga
112115,Act-age,8.22,Drama,Manga
92252,Koimonogatari (Koimonogatari: Love Stories),8.22,"Boys Love, Drama, Slice of Life",Manga
140295,Tsukuritai Onna to Tabetai Onna,8.21,"Girls Love, Slice of Life",Manga
151061,Debut or Die!,8.21,Drama,Manhwa
1802,Cat Street,8.21,"Drama, Romance",Manga
3731,Solanin,8.21,"Drama, Slice of Life",Manga
4453,Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa (Shoulder-a-Coffin Kuro),8.21,"Adventure, Fantasy",Manga
62547,Yugami-kun ni wa Tomodachi ga Inai (He does not have any friends.),8.21,"Comedy, Slice of Life",Manga
731,Eden: It's an Endless World!,8.20,"Action, Drama, Sci-Fi, Suspense",Manga
1208,Silver Diamond,8.20,"Adventure, Boys Love, Fantasy",Manga
147062,See You in My 19th Life,8.20,Romance,Manhwa
131799,Romance 101,8.20,"Comedy, Romance",Manhwa
104491,Bokura no Shokutaku (Our Dining Table),8.19,"Boys Love, Slice of Life",Manga
108495,NieR:Automata,8.19,"Action, Fantasy, Sci-Fi",Novel
373,Meteor Methuselah (Immortal Rain),8.19,"Action, Adventure, Drama, Fantasy, Romance",Manga
2924,Historie (Historié),8.19,"Action, Adventure, Award Winning",Manga
26736,Taiyou no Ie (House of the Sun),8.19,"Award Winning, Drama, Romance",Manga
45885,No.6 Beyond,8.19,"Action, Drama, Mystery, Sci-Fi",Novel
46010,xxxHOLiC: Rei (xxxHOLiC Rei),8.19,"Drama, Mystery, Supernatural",Manga
58563,Innocent,8.19,Drama,Manga
111211,Cheese in the Trap Season 4,8.19,"Comedy, Mystery, Romance, Slice of Life",Manhwa
115746,Shinai naru Boku e Satsui wo Komete,8.19,"Drama, Mystery, Suspense",Manga
132962,Boku ga Otto ni Deau made (Until I Meet My Husband),8.19,"Boys Love, Drama",Manga
107875,Cheese in the Trap Season 3,8.18,"Comedy, Mystery, Romance, Slice of Life",Manhwa
3715,The One,8.18,"Drama, Romance",Manhua
80375,Otouto no Otto (My Brother's Husband),8.18,"Award Winning, Slice of Life",Manga
140409,Yoake no Uta (Lullaby of the Dawn),8.18,"Boys Love, Fantasy",Manga
27231,Hirunaka no Ryuusei (Daytime Shooting Star),8.17,Romance,Manga
41865,Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori,8.17,"Action, Adventure",Light Novel
112694,Fushigi Neko no Kyuu-chan (Wonder Cat Kyuu-chan),8.17,"Comedy, Slice of Life",Manga
